Administradora,Anno,Departamento,Conteo de Administradoras,Conteo de Prestadores,Costo Procedimiento,Neto A Pagar - Consulta,Número de Atenciones,Número Personas Atendidas,Valor Consulta,Valor Cuota Moderadora - Consulta
EPS039 - GOLDEN GROUP,2014,20 - Cesar,1,7,663.410,280.060,34,8,301.460,21.400
EPS037 - NUEVA EPS,2014,20 - Cesar,1,10,,4.684.926,188,142,4.939.926,255.000
EPS033 - SALUDVIDA,2014,20 - Cesar,1,4,2.238.282,536.069,43,10,543.269,7.200
EPS020 - CAPRECOM,2014,20 - Cesar,1,21,655.026,1.862.953,122,56,1.862.953,
EPS017 - FAMISANAR,2014,20 - Cesar,1,2,582.237,121.500,41,8,150.000,28.500
EPS016 - COOMEVA,2014,20 - Cesar,1,26,1.702.414,887.772,84,46,1.102.042,214.270
EPS013 - SALUDCOOP,2014,20 - Cesar,1,36,882.069,5.777.156,634,174,5.299.910,1.753.600
EPS005 - SANITAS,2014,20 - Cesar,1,1,30.140,,10,2,56.562,
EPS003 - CAFESALUD,2014,20 - Cesar,1,4,339.849,107.570,23,4,61.285,31.100
EPS002 - SALUD TOTAL,2014,20 - Cesar,1,17,6.692.700,27.527.095,1.124,507,27.403.895,153.800
EMP017 - EMP COLMENA S.A,2014,20 - Cesar,1,2,,140.800,4,2,140.800,
EAS027 - FERROCARRILES NALES,2014,20 - Cesar,1,1,,,5,3,,
CCF015 - COMFACOR,2014,20 - Cesar,1,6,293.204,2.450.678,72,53,2.450.678,
ESS207 - MUTUAL SER,2014,23 - Córdoba,1,45,3.992.275,7.390.315,535,263,7.390.315,
ESS133 - COMPARTA,2014,23 - Córdoba,1,21,591.280,9.388.108,377,177,9.388.108,
ESS076 - AMBUQ,2014,23 - Córdoba,1,4,,544.425,21,20,544.425,
ESS024 - COOSALUD E.S.S.,2014,23 - Córdoba,1,7,,1.064.400,48,36,1.064.400,
ESS002 - EMDISALUD,2014,23 - Córdoba,1,28,628.648,8.462.702,364,203,8.498.702,
EPSS33 - SALUDVIDA,2014,23 - Córdoba,1,18,459.864,5.209.484,222,147,5.209.484,
EPSI02 - MANEXKA,2014,23 - Córdoba,1,25,1.314.172,11.414.359,429,230,11.414.359,
EPS039 - GOLDEN GROUP,2014,23 - Córdoba,1,3,154.892,512.645,29,9,596.245,83.600
EPS037 - NUEVA EPS,2014,23 - Córdoba,1,3,,3.021.390,297,130,3.180.890,159.500
EPS033 - SALUDVIDA,2014,23 - Córdoba,1,13,1.069.788,1.224.176,94,51,1.228.976,4.800
EPS020 - CAPRECOM,2014,23 - Córdoba,1,28,2.292.443,6.049.233,438,161,6.051.633,2.400
EPS016 - COOMEVA,2014,23 - Córdoba,1,28,712.412,1.753.467,250,127,2.502.037,748.570
EPS013 - SALUDCOOP,2014,23 - Córdoba,1,53,5.291.412,16.397.693,2.070,607,16.401.831,5.507.400
EPS002 - SALUD TOTAL,2014,23 - Córdoba,1,14,4.470.913,2.060.475,385,101,2.065.275,4.800
EMP017 - EMP COLMENA S.A,2014,23 - Córdoba,1,5,,122.200,10,5,122.200,
CCF015 - COMFACOR,2014,23 - Córdoba,1,32,53.313,7.224.185,313,226,7.224.185,
0 - NO DEFINIDO,2014,23 - Córdoba,1,1,,33.800,1,1,33.800,
RES008 - UNISALUD,2014,25 - Cundinamarca,1,6,408.278,579.284,47,11,598.084,18.800
RES002 - ECOPETROL,2014,25 - Cundinamarca,1,5,,314.780,17,4,314.780,
ESS133 - COMPARTA,2014,25 - Cundinamarca,1,12,215.700,3.684.466,169,70,3.713.566,29.100
ESS091 -  ECOOPSOS,2014,25 - Cundinamarca,1,31,,3.783.895,210,126,3.802.015,18.120
EPSS34 - CAPITAL SALUD,2014,25 - Cundinamarca,1,4,,349.800,16,14,349.800,
EPSS33 - SALUDVIDA,2014,25 - Cundinamarca,1,15,97.950,2.465.298,170,94,2.465.298,
EPSS03 - CAFESALUD,2014,25 - Cundinamarca,1,2,15.718,,4,2,,
EPS039 - GOLDEN GROUP,2014,25 - Cundinamarca,1,3,19.000,13.761,3,3,18.561,4.800
EPS037 - NUEVA EPS,2014,25 - Cundinamarca,1,43,,5.401.600,408,260,5.587.260,185.660
EPS033 - SALUDVIDA,2014,25 - Cundinamarca,1,8,,440.504,19,15,440.504,
EPS023 - CRUZ BLANCA,2014,25 - Cundinamarca,1,34,1.080.701,2.621.020,495,100,2.436.012,1.005.100
EPS022 - CONVIDA,2014,25 - Cundinamarca,1,36,24.267.035,20.971.749,802,395,21.530.332,558.583
EPS020 - CAPRECOM,2014,25 - Cundinamarca,1,33,2.148.856,3.505.872,373,99,3.535.672,29.800
EPS017 - FAMISANAR,2014,25 - Cundinamarca,1,139,59.589.156,113.561.894,4.959,1.465,120.675.899,7.114.000
EPS016 - COOMEVA,2014,25 - Cundinamarca,1,30,223.097,2.280.086,163,91,2.569.886,289.800
EPS013 - SALUDCOOP,2014,25 - Cundinamarca,1,85,7.783.514,21.798.476,3.450,697,19.883.081,8.349.400
EPS010 - EPS SURA,2014,25 - Cundinamarca,1,28,22.096.980,5.199.266,738,122,5.253.732,755.900
EPS008 - COMPENSAR,2014,25 - Cundinamarca,1,11,,2.806.105,129,72,2.913.205,107.100
EPS005 - SANITAS,2014,25 - Cundinamarca,1,12,412.150,170.360,97,54,309.978,16.840
EPS003 - CAFESALUD,2014,25 - Cundinamarca,1,21,378.178,714.840,144,43,736.330,423.200
EPS002 - SALUD TOTAL,2014,25 - Cundinamarca,1,35,10.216.751,2.841.012,776,205,2.860.512,19.500
EPS001 - ALIANSALUD,2014,25 - Cundinamarca,1,2,,84.300,9,2,84.300,
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2014,25 - Cundinamarca,1,2,,,3,2,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2014,25 - Cundinamarca,1,2,,97.010,2,2,97.010,
EMP017 - EMP COLMENA S.A,2014,25 - Cundinamarca,1,15,,1.470.977,39,18,1.315.400,
EMP015 - EMP MEDISANITAS S. A.,2014,25 - Cundinamarca,1,1,,,1,1,46.940,
EMP002 - EMP CAFESALUD,2014,25 - Cundinamarca,1,5,,143.900,88,18,266.200,122.300
EAS027 - FERROCARRILES NALES,2014,25 - Cundinamarca,1,7,,,33,22,,
CCF101 - COLSUBSIDIO,2014,25 - Cundinamarca,1,27,409.218,10.743.128,458,191,10.743.128,
CCF018 - CAFAM,2014,25 - Cundinamarca,1,34,9.591.235,20.412.977,836,315,20.939.626,526.649
25000 - DIRECCION DEPARTAMENTAL DE SALUD DE CUND,2014,25 - Cundinamarca,1,2,,90.000,3,2,111.400,21.400
14-4 - COLPATRIA,2014,25 - Cundinamarca,1,1,,,1,1,,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2014,25 - Cundinamarca,1,3,,163.460,6,4,163.460,
0 - NO DEFINIDO,2014,25 - Cundinamarca,1,3,,121.200,23,11,121.200,
ESS207 - MUTUAL SER,2014,27 - Chocó,1,1,,35.500,1,1,35.500,
ESS133 - COMPARTA,2014,27 - Chocó,1,5,3.645.000,520.300,31,8,520.300,
ESS076 - AMBUQ,2014,27 - Chocó,1,8,438.500,2.253.175,54,23,2.253.175,
EPS037 - NUEVA EPS,2014,27 - Chocó,1,1,,215.815,17,9,215.815,
EPS020 - CAPRECOM,2014,27 - Chocó,1,25,2.508.891,2.666.319,184,31,2.666.319,
EPS016 - COOMEVA,2014,27 - Chocó,1,7,65.000,265.590,11,8,279.990,14.400
EPS013 - SALUDCOOP,2014,27 - Chocó,1,9,1.420.008,380.240,69,17,345.220,166.400
CCF102 - COMFACHOCO,2014,27 - Chocó,1,2,572.000,148.800,17,5,148.800,
RES002 - ECOPETROL,2014,41 - Huila,1,4,,135.500,28,10,135.500,
ESS133 - COMPARTA,2014,41 - Huila,1,18,11.253.018,10.983.890,316,90,11.015.530,31.640
ESS091 -  ECOOPSOS,2014,41 - Huila,1,5,111.600,345.800,20,13,345.800,
ESS062 - ASMET SALUD,2014,41 - Huila,1,36,7.818.219,19.090.865,972,390,19.105.265,
EPSS34 - CAPITAL SALUD,2014,41 - Huila,1,2,,53.729,2,2,53.729,
EPSS03 - CAFESALUD,2014,41 - Huila,1,3,3.845,,13,3,,
EPSI05 - MALLAMAS,2014,41 - Huila,1,2,,121.800,5,3,121.800,
EPS039 - GOLDEN GROUP,2014,41 - Huila,1,6,2.394.066,235.023,22,7,277.823,42.800
EPS037 - NUEVA EPS,2014,41 - Huila,1,7,,5.558.091,373,151,5.659.391,101.300
EPS023 - CRUZ BLANCA,2014,41 - Huila,1,1,,,3,1,,
EPS020 - CAPRECOM,2014,41 - Huila,1,55,21.300.388,26.398.776,2.209,305,26.561.116,162.340
EPS016 - COOMEVA,2014,41 - Huila,1,14,2.850.169,2.191.540,133,62,2.496.140,304.600
EPS013 - SALUDCOOP,2014,41 - Huila,1,50,9.368.041,23.721.399,3.842,587,23.006.275,7.822.800
EPS005 - SANITAS,2014,41 - Huila,1,4,,1.562.000,110,57,1.635.920,40.400
EPS003 - CAFESALUD,2014,41 - Huila,1,12,2.158.632,2.742.929,533,103,2.642.100,1.289.500
EPS002 - SALUD TOTAL,2014,41 - Huila,1,12,621.055,2.264.385,122,70,2.271.585,7.200
EMP017 - EMP COLMENA S.A,2014,41 - Huila,1,8,,449.800,21,6,449.800,
EMP002 - EMP CAFESALUD,2014,41 - Huila,1,3,197.500,63.100,6,4,84.300,21.200
CCF024 - COMFAMILIAR HUILA,2014,41 - Huila,1,50,10.590.542,19.036.478,1.334,630,19.067.678,31.200
41000 - DIRECCION DEPARTAMENTAL DE SALUD DE HUIL,2014,41 - Huila,1,2,,93.765,4,2,93.765,
ESS133 - COMPARTA,2014,44 - La Guajira,1,16,1.059.600,3.567.825,122,41,3.567.825,
ESS076 - AMBUQ,2014,44 - La Guajira,1,14,,1.955.553,68,34,1.955.553,
ESS024 - COOSALUD E.S.S.,2014,44 - La Guajira,1,3,,112.860,5,4,112.860,
EPSS33 - SALUDVIDA,2014,44 - La Guajira,1,7,,732.493,25,16,732.493,
EPSI04 - ANASWAYUU,2014,44 - La Guajira,1,13,1.103.486,1.463.173,92,25,1.463.173,
EPSI01 - DUSAKAWI E.P.S.I.,2014,44 - La Guajira,1,11,57.710,1.216.175,119,81,1.226.175,
EPS037 - NUEVA EPS,2014,44 - La Guajira,1,9,,584.734,33,23,596.634,11.900
EPS033 - SALUDVIDA,2014,44 - La Guajira,1,6,,375.733,29,8,385.233,9.500
EPS020 - CAPRECOM,2014,44 - La Guajira,1,27,877.651,1.159.379,98,22,1.159.379,
EPS016 - COOMEVA,2014,44 - La Guajira,1,12,,322.147,23,19,431.347,109.200
EPS013 - SALUDCOOP,2014,44 - La Guajira,1,13,246.060,1.121.702,170,45,975.410,296.800
EPS005 - SANITAS,2014,44 - La Guajira,1,1,,,2,1,,3.600
EMP017 - EMP COLMENA S.A,2014,44 - La Guajira,1,2,,59.000,2,2,59.000,
CCF023 - COMFAGUAJIRA,2014,44 - La Guajira,1,27,1.836.642,5.124.395,209,86,5.124.395,
CCF015 - COMFACOR,2014,44 - La Guajira,1,1,,71.046,2,1,71.046,
ESS207 - MUTUAL SER,2014,47 - Magdalena,1,30,2.649.329,3.166.713,213,83,3.166.713,
ESS133 - COMPARTA,2014,47 - Magdalena,1,25,2.234.686,13.355.657,543,174,13.355.672,15
ESS076 - AMBUQ,2014,47 - Magdalena,1,17,442.570,1.085.710,41,22,1.085.710,
ESS024 - COOSALUD E.S.S.,2014,47 - Magdalena,1,23,84.372,2.069.905,93,61,2.069.907,
ESS002 - EMDISALUD,2014,47 - Magdalena,1,10,,523.753,23,17,523.753,
EPSS33 - SALUDVIDA,2014,47 - Magdalena,1,4,,403.900,10,8,403.900,
EPS039 - GOLDEN GROUP,2014,47 - Magdalena,1,2,37.748,59.931,11,3,71.931,12.000
EPS037 - NUEVA EPS,2014,47 - Magdalena,1,8,,1.830.546,151,78,1.830.546,
EPS033 - SALUDVIDA,2014,47 - Magdalena,1,5,,115.246,7,6,127.146,11.900
EPS020 - CAPRECOM,2014,47 - Magdalena,1,24,880.800,3.710.330,232,91,3.710.330,
EPS017 - FAMISANAR,2014,47 - Magdalena,1,7,437.867,258.497,54,19,372.898,114.401
EPS016 - COOMEVA,2014,47 - Magdalena,1,21,1.221.154,1.112.263,104,63,1.262.963,150.700
EPS013 - SALUDCOOP,2014,47 - Magdalena,1,34,6.474.778,6.114.481,1.125,259,4.198.858,1.971.700
EPS005 - SANITAS,2014,47 - Magdalena,1,1,,,2,2,,
EPS003 - CAFESALUD,2014,47 - Magdalena,1,5,990.735,248.495,35,12,236.140,83.500
EPS002 - SALUD TOTAL,2014,47 - Magdalena,1,18,897.770,2.154.374,254,123,2.163.874,9.500
EPS001 - ALIANSALUD,2014,47 - Magdalena,1,4,,8.755,20,10,8.755,9.500
EMP017 - EMP COLMENA S.A,2014,47 - Magdalena,1,5,,330.500,7,6,330.500,
EAS027 - FERROCARRILES NALES,2014,47 - Magdalena,1,4,,,152,76,,
CCF015 - COMFACOR,2014,47 - Magdalena,1,7,,335.849,12,10,335.849,
47000 - DIRECCION DEPARTAMENTAL DE SALUD DE MAGD,2014,47 - Magdalena,1,1,,35.500,1,1,35.500,
RES002 - ECOPETROL,2014,50 - Meta,1,2,,44.000,2,1,44.000,
ESS133 - COMPARTA,2014,50 - Meta,1,13,44.800,9.637.254,351,84,9.637.254,
EPSS34 - CAPITAL SALUD,2014,50 - Meta,1,14,,2.868.960,131,92,2.868.960,
EPSI05 - MALLAMAS,2014,50 - Meta,1,3,,110.900,4,1,110.900,
EPS037 - NUEVA EPS,2014,50 - Meta,1,8,,7.410.934,364,148,7.533.634,122.700
EPS023 - CRUZ BLANCA,2014,50 - Meta,1,6,476.295,75.060,17,5,161.020,14.400
EPS020 - CAPRECOM,2014,50 - Meta,1,31,6.809.366,6.958.500,606,101,6.961.700,3.200
EPS017 - FAMISANAR,2014,50 - Meta,1,10,1.023.532,963.665,65,34,1.107.966,144.300
EPS016 - COOMEVA,2014,50 - Meta,1,6,66.367,501.843,35,17,598.058,90.700
EPS013 - SALUDCOOP,2014,50 - Meta,1,81,5.195.865,23.279.226,2.625,578,21.735.262,8.200.200
EPS005 - SANITAS,2014,50 - Meta,1,3,,174.750,87,52,174.750,
EPS003 - CAFESALUD,2014,50 - Meta,1,1,,8.755,1,1,8.755,2.400
EPS002 - SALUD TOTAL,2014,50 - Meta,1,19,2.095.843,1.916.324,283,68,2.056.524,164.100
EPS001 - ALIANSALUD,2014,50 - Meta,1,8,,632.838,54,20,635.238,9.600
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2014,50 - Meta,1,3,,95.830,7,6,295.830,
EMP017 - EMP COLMENA S.A,2014,50 - Meta,1,7,,191.600,35,8,191.600,
EMP002 - EMP CAFESALUD,2014,50 - Meta,1,2,,53.350,2,2,74.550,21.200
EAS027 - FERROCARRILES NALES,2014,50 - Meta,1,1,,,1,1,,
CCF024 - COMFAMILIAR HUILA,2014,50 - Meta,1,2,,60.600,2,2,60.600,
50000 - DIRECCION DEPARTAMENTAL DE SALUD DE META,2014,50 - Meta,1,2,,155.800,4,4,155.800,
RES002 - ECOPETROL,2014,52 - Nariño,1,5,,460.508,14,4,460.508,46.972
ESS118 - EMSSANAR E.S.S.,2014,52 - Nariño,1,112,172.250.563,508.067.211,22.621,3.330,508.118.873,51.662
ESS062 - ASMET SALUD,2014,52 - Nariño,1,44,3.228.234,13.516.505,645,333,13.516.505,
EPSS34 - CAPITAL SALUD,2014,52 - Nariño,1,1,,,1,1,,
EPSS33 - SALUDVIDA,2014,52 - Nariño,1,1,,40.500,2,1,40.500,
EPSI05 - MALLAMAS,2014,52 - Nariño,1,51,3.814.222,46.785.798,2.084,947,46.785.798,
EPS037 - NUEVA EPS,2014,52 - Nariño,1,9,,4.759.540,464,194,4.778.640,19.100
EPS033 - SALUDVIDA,2014,52 - Nariño,1,6,586.868,241.118,48,7,241.118,
EPS020 - CAPRECOM,2014,52 - Nariño,1,25,459.672,4.204.424,230,74,4.204.424,
EPS016 - COOMEVA,2014,52 - Nariño,1,13,6.628.927,4.092.423,312,118,4.353.323,260.900
EPS013 - SALUDCOOP,2014,52 - Nariño,1,39,15.930.948,19.157.669,2.936,756,16.203.675,7.940.800
EPS005 - SANITAS,2014,52 - Nariño,1,1,,,188,76,,
EAS027 - FERROCARRILES NALES,2014,52 - Nariño,1,2,,,5,3,,
CCF027 - COMFAMILIAR NARIÑO,2014,52 - Nariño,1,38,14.777.629,7.092.672,650,253,7.092.672,
RES002 - ECOPETROL,2014,54 - Norte de Santander,1,17,14.972.910,11.565.561,533,36,11.565.561,
ESS207 - MUTUAL SER,2014,54 - Norte de Santander,1,1,,89.700,2,1,89.700,
ESS133 - COMPARTA,2014,54 - Norte de Santander,1,21,2.496.000,10.054.728,487,162,10.089.748,
ESS091 -  ECOOPSOS,2014,54 - Norte de Santander,1,7,57.838,559.046,33,17,559.046,
ESS062 - ASMET SALUD,2014,54 - Norte de Santander,1,10,383.565,960.212,90,39,960.212,
ESS024 - COOSALUD E.S.S.,2014,54 - Norte de Santander,1,12,169.800,785.946,37,25,785.946,
EPSS33 - SALUDVIDA,2014,54 - Norte de Santander,1,10,700.916,1.471.801,106,38,1.471.801,
EPSI01 - DUSAKAWI E.P.S.I.,2014,54 - Norte de Santander,1,1,,49.200,2,1,49.200,
EPS039 - GOLDEN GROUP,2014,54 - Norte de Santander,1,5,131.145,278.523,28,7,307.223,28.700
EPS037 - NUEVA EPS,2014,54 - Norte de Santander,1,10,,2.484.119,226,133,2.625.219,18.800
EPS033 - SALUDVIDA,2014,54 - Norte de Santander,1,5,17.769,169.400,11,8,169.400,
EPS020 - CAPRECOM,2014,54 - Norte de Santander,1,20,825.721,6.136.742,173,100,6.136.742,
EPS016 - COOMEVA,2014,54 - Norte de Santander,1,21,260.131,3.650.899,211,114,4.184.999,534.100
EPS013 - SALUDCOOP,2014,54 - Norte de Santander,1,60,3.014.219,18.198.786,2.515,644,17.441.354,5.766.400
EPS005 - SANITAS,2014,54 - Norte de Santander,1,1,,,2,1,,5.000
EPS003 - CAFESALUD,2014,54 - Norte de Santander,1,10,779.406,1.767.465,352,94,1.741.200,666.400
EMP017 - EMP COLMENA S.A,2014,54 - Norte de Santander,1,4,,311.600,8,2,311.600,
CCF049 - COMFAORIENTE,2014,54 - Norte de Santander,1,15,,3.954.884,162,93,3.954.884,
CCF045 - FAMISALUD COMFANORTE A.R.S,2014,54 - Norte de Santander,1,7,1.095.715,1.311.200,46,23,1.311.200,
54000 - DIRECCION DEPARTAMENTAL DE SALUD DE NORT,2014,54 - Norte de Santander,1,3,2.476.800,321.880,37,7,343.100,21.220
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2014,54 - Norte de Santander,1,2,,63.797,3,1,85.197,21.400
0 - NO DEFINIDO,2014,54 - Norte de Santander,1,1,,,1,1,,
RES002 - ECOPETROL,2014,63 - Quindio,1,1,,465.362,2,1,465.362,
ESS207 - MUTUAL SER,2014,63 - Quindio,1,1,,28.400,1,1,28.400,
ESS062 - ASMET SALUD,2014,63 - Quindio,1,23,1.160.629,10.329.792,501,286,10.334.712,
EPSS33 - SALUDVIDA,2014,63 - Quindio,1,4,,1.628.980,62,33,1.637.500,8.520
EPS037 - NUEVA EPS,2014,63 - Quindio,1,6,,809.766,35,23,874.466,64.700
EPS033 - SALUDVIDA,2014,63 - Quindio,1,2,,326.600,10,10,326.600,
EPS020 - CAPRECOM,2014,63 - Quindio,1,13,2.525.171,1.815.800,196,74,1.918.000,102.200
EPS018 - SOS,2014,63 - Quindio,1,9,176.760,689.317,47,21,793.292,128.500
EPS016 - COOMEVA,2014,63 - Quindio,1,24,85.941,1.847.665,110,72,2.015.965,168.291
EPS013 - SALUDCOOP,2014,63 - Quindio,1,33,517.284,9.193.958,1.021,260,8.504.554,3.021.200
EPS010 - EPS SURA,2014,63 - Quindio,1,9,2.438.630,1.457.515,142,20,1.495.629,157.500
EPS005 - SANITAS,2014,63 - Quindio,1,2,,64.880,3,2,67.280,2.400
EPS003 - CAFESALUD,2014,63 - Quindio,1,12,546.568,2.988.840,319,94,2.749.942,897.200
EPS002 - SALUD TOTAL,2014,63 - Quindio,1,5,247.236,107.036,32,15,111.836,4.800
EMP028 - SALUD COOMEVA  MEDICINA PREPAGADA S. A.,2014,63 - Quindio,1,1,,,2,1,,
EMP017 - EMP COLMENA S.A,2014,63 - Quindio,1,4,,403.000,14,3,376.900,
EAS027 - FERROCARRILES NALES,2014,63 - Quindio,1,1,,,6,2,,
63001 - DIRECCION MUNICIPAL DE SALUD DE ARMENIA,2014,63 - Quindio,1,1,,255.700,11,3,255.700,
63000 - DIRECCION DEPARTAMENTAL DE SALUD DE QUIN,2014,63 - Quindio,1,2,,685.380,28,17,707.900,22.520
RES002 - ECOPETROL,2014,66 - Risaralda,1,1,,60.000,1,1,60.000,
ESS062 - ASMET SALUD,2014,66 - Risaralda,1,53,6.774.806,36.211.236,1.207,707,36.216.176,
EPS037 - NUEVA EPS,2014,66 - Risaralda,1,7,,11.871.452,460,267,11.878.652,7.200
EPS020 - CAPRECOM,2014,66 - Risaralda,1,17,1.055.479,5.749.067,319,70,5.749.067,
EPS018 - SOS,2014,66 - Risaralda,1,12,2.438.276,4.241.216,309,68,5.488.703,2.327.637
EPS017 - FAMISANAR,2014,66 - Risaralda,1,1,1.843,21.981,3,1,26.781,4.800
EPS016 - COOMEVA,2014,66 - Risaralda,1,33,947.684,4.281.969,211,116,4.598.669,316.691
EPS013 - SALUDCOOP,2014,66 - Risaralda,1,53,5.686.233,21.554.211,2.644,561,20.579.250,6.725.000
EPS012 - COMFENALCO VALLE,2014,66 - Risaralda,1,1,,100.000,1,1,90.500,9.500
EPS010 - EPS SURA,2014,66 - Risaralda,1,15,4.175.303,2.805.329,291,41,2.637.474,324.400
EPS005 - SANITAS,2014,66 - Risaralda,1,2,,154.320,17,8,154.320,
EPS003 - CAFESALUD,2014,66 - Risaralda,1,26,1.040.095,7.760.461,815,202,7.596.256,1.963.900
EPS002 - SALUD TOTAL,2014,66 - Risaralda,1,20,3.563.988,6.380.771,668,201,6.390.369,9.598
EMP017 - EMP COLMENA S.A,2014,66 - Risaralda,1,3,,160.800,9,3,134.700,
EMP002 - EMP CAFESALUD,2014,66 - Risaralda,1,1,,8.450,1,1,20.150,11.700
EAS027 - FERROCARRILES NALES,2014,66 - Risaralda,1,1,,,6,3,,
66170 - DIRECCION MUNICIPAL DE SALUD DE DOS QUEB,2014,66 - Risaralda,1,1,,23.370,1,1,24.600,1.230
66001 - DIRECCION LOCAL DE SALUD PEREIRA,2014,66 - Risaralda,1,6,,218.350,10,7,230.210,11.860
66000 - DIRECCION DEPARTAMENTAL DE SALUD DE RISA,2014,66 - Risaralda,1,31,414.400,11.645.169,531,391,11.685.349,40.180
RES002 - ECOPETROL,2014,68 - Santander,1,70,8.441.935,96.023.642,2.053,163,96.023.742,25.050
ESS207 - MUTUAL SER,2014,68 - Santander,1,2,131.250,,2,2,,
ESS133 - COMPARTA,2014,68 - Santander,1,38,2.220.294,53.907.344,2.383,590,53.907.344,900
ESS062 - ASMET SALUD,2014,68 - Santander,1,14,158.627,4.587.144,173,114,4.587.144,
ESS024 - COOSALUD E.S.S.,2014,68 - Santander,1,35,286.972,5.260.112,237,137,5.262.572,2.460
ESS002 - EMDISALUD,2014,68 - Santander,1,7,2.240.000,888.100,33,19,888.100,
EPSS33 - SALUDVIDA,2014,68 - Santander,1,23,49.950,2.909.381,152,100,2.909.381,
EPS037 - NUEVA EPS,2014,68 - Santander,1,20,,22.159.302,1.505,526,22.595.093,437.281
EPS033 - SALUDVIDA,2014,68 - Santander,1,10,,625.408,33,22,695.500,70.092
EPS020 - CAPRECOM,2014,68 - Santander,1,27,3.397.494,5.784.565,213,100,5.784.565,
EPS017 - FAMISANAR,2014,68 - Santander,1,16,1.794.680,2.142.236,201,45,2.395.236,253.000
EPS016 - COOMEVA,2014,68 - Santander,1,48,1.065.075,5.597.180,473,279,7.230.280,1.652.100
EPS013 - SALUDCOOP,2014,68 - Santander,1,77,1.110.787,15.797.728,3.047,743,13.656.163,8.997.600
EPS010 - EPS SURA,2014,68 - Santander,1,13,21.055.991,1.945.479,298,53,1.918.357,301.800
EPS008 - COMPENSAR,2014,68 - Santander,1,2,,79.902,4,2,89.402,9.500
EPS005 - SANITAS,2014,68 - Santander,1,2,,904.668,83,51,904.668,
EPS003 - CAFESALUD,2014,68 - Santander,1,18,393.826,2.044.807,487,167,1.793.455,1.303.000
EPS002 - SALUD TOTAL,2014,68 - Santander,1,30,22.009.707,49.089.957,4.330,428,49.154.357,69.200
EPS001 - ALIANSALUD,2014,68 - Santander,1,5,,,45,10,,
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2014,68 - Santander,1,6,,,21,11,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2014,68 - Santander,1,3,,176.860,10,4,414.000,
EMP017 - EMP COLMENA S.A,2014,68 - Santander,1,7,,879.900,80,9,879.900,
EMP015 - EMP MEDISANITAS S. A.,2014,68 - Santander,1,1,,46.940,4,2,187.760,
EAS027 - FERROCARRILES NALES,2014,68 - Santander,1,2,,,6,5,,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2014,68 - Santander,1,1,,36.000,1,1,36.000,
0 - NO DEFINIDO,2014,68 - Santander,1,6,,1.512.800,99,21,1.512.800,
RES002 - ECOPETROL,2014,70 - Sucre,1,1,,548.898,3,3,548.898,
ESS207 - MUTUAL SER,2014,70 - Sucre,1,35,7.729.166,13.241.473,893,298,13.241.473,
ESS133 - COMPARTA,2014,70 - Sucre,1,19,1.682.520,14.212.742,294,106,14.212.742,
ESS076 - AMBUQ,2014,70 - Sucre,1,25,,7.957.025,223,159,7.957.025,
ESS024 - COOSALUD E.S.S.,2014,70 - Sucre,1,9,4.152.600,1.838.350,177,40,1.838.350,
EPSS33 - SALUDVIDA,2014,70 - Sucre,1,9,118.380,728.600,32,21,728.600,
EPSI02 - MANEXKA,2014,70 - Sucre,1,14,602.200,5.848.198,200,112,5.848.198,
EPS037 - NUEVA EPS,2014,70 - Sucre,1,5,,885.760,81,35,897.660,11.900
EPS033 - SALUDVIDA,2014,70 - Sucre,1,6,,302.900,11,7,302.900,
EPS020 - CAPRECOM,2014,70 - Sucre,1,21,766.129,4.589.276,230,89,4.589.276,
EPS016 - COOMEVA,2014,70 - Sucre,1,19,1.277.757,1.151.188,134,49,1.358.288,207.100
EPS013 - SALUDCOOP,2014,70 - Sucre,1,24,289.312,2.545.284,281,101,2.435.720,636.800
EPS002 - SALUD TOTAL,2014,70 - Sucre,1,11,1.403.926,788.425,168,69,790.825,2.400
CCF015 - COMFACOR,2014,70 - Sucre,1,3,,235.000,5,4,235.000,
RES008 - UNISALUD,2014,73 - Tolima,1,1,,5.100.000,1,1,5.100.000,
RES002 - ECOPETROL,2014,73 - Tolima,1,3,1.198.996,538.000,47,4,538.000,
ESS133 - COMPARTA,2014,73 - Tolima,1,31,7.146.188,8.613.891,538,148,8.625.211,11.320
ESS091 -  ECOOPSOS,2014,73 - Tolima,1,6,,970.073,39,22,970.073,
ESS062 - ASMET SALUD,2014,73 - Tolima,1,35,2.027.293,6.804.430,295,189,6.804.430,
EPSS34 - CAPITAL SALUD,2014,73 - Tolima,1,1,,31.950,1,1,31.950,
EPSS33 - SALUDVIDA,2014,73 - Tolima,1,13,124.300,1.270.275,51,38,1.270.275,
EPSS03 - CAFESALUD,2014,73 - Tolima,1,1,2.643,,10,2,,
